Regio,Migratieachtergrond,value
Zeeland (PV),Overig Afrika,1719
Zeeland (PV),Overig Amerika,450
Zeeland (PV),Overig Azië,972
Zeeland (PV),Overig Europa,916
Zeeland (PV),Overig Oceanië,56
Noord-Brabant (PV),Afghanistan,4712
Noord-Brabant (PV),Australië,1764
Noord-Brabant (PV),België,33979
Noord-Brabant (PV),Brazilië,1251
Noord-Brabant (PV),Canada en overig Noord-Amerika,1586
Noord-Brabant (PV),China,4900
Noord-Brabant (PV),Colombia,546
Noord-Brabant (PV),Dominicaanse Republiek,632
Noord-Brabant (PV),Duitsland,40757
Noord-Brabant (PV),Egypte,1307
Noord-Brabant (PV),Ethiopië,748
Noord-Brabant (PV),Filippijnen,1119
Noord-Brabant (PV),Frankrijk,3854
Noord-Brabant (PV),Ghana,815
Noord-Brabant (PV),Griekenland,1388
Noord-Brabant (PV),Hongarije,1441
Noord-Brabant (PV),Hongkong,1803
Noord-Brabant (PV),India,1006
Noord-Brabant (PV),Indonesië,53297
Noord-Brabant (PV),Irak,3608
Noord-Brabant (PV),Iran,2437
Noord-Brabant (PV),Italië,2809
Noord-Brabant (PV),Japan,486
Noord-Brabant (PV),Kaapverdië,106
Noord-Brabant (PV),Marokko,33596
Noord-Brabant (PV),Oostenrijk,1781
Noord-Brabant (PV),Pakistan,635
Noord-Brabant (PV),Polen,5553
Noord-Brabant (PV),Portugal,1695
Noord-Brabant (PV),Somalië,5164
Noord-Brabant (PV),Spanje,3979
Noord-Brabant (PV),Suriname,18350
Noord-Brabant (PV),Turkije,45224
Noord-Brabant (PV),Verenigd Koninkrijk,8327
Noord-Brabant (PV),Verenigde Staten van Amerika,2500
Noord-Brabant (PV),Vietnam,3104
Noord-Brabant (PV),Zuid-Afrika,1474
Noord-Brabant (PV),Overig Afrika,10009
Noord-Brabant (PV),Overig Amerika,3020
Noord-Brabant (PV),Overig Azië,7334
Noord-Brabant (PV),Overig Europa,5792
Noord-Brabant (PV),Overig Oceanië,676
Limburg (PV),Afghanistan,2235
Limburg (PV),Australië,742
Limburg (PV),België,20147
Limburg (PV),Brazilië,377
Limburg (PV),Canada en overig Noord-Amerika,439
Limburg (PV),China,2193
Limburg (PV),Colombia,277
Limburg (PV),Dominicaanse Republiek,205
Limburg (PV),Duitsland,90697
Limburg (PV),Egypte,694
Limburg (PV),Ethiopië,260
Limburg (PV),Filippijnen,491
Limburg (PV),Frankrijk,1681
Limburg (PV),Ghana,239
Limburg (PV),Griekenland,780
Limburg (PV),Hongarije,1091
Limburg (PV),Hongkong,653
Limburg (PV),India,385
Limburg (PV),Indonesië,22805
Limburg (PV),Irak,1660
Limburg (PV),Iran,1506
Limburg (PV),Italië,3471
Limburg (PV),Japan,258
Limburg (PV),Kaapverdië,28
Limburg (PV),Marokko,15581
Limburg (PV),Oostenrijk,1321
Limburg (PV),Pakistan,275
Limburg (PV),Polen,4874
Limburg (PV),Portugal,382
Limburg (PV),Somalië,1240
Limburg (PV),Spanje,1568
Limburg (PV),Suriname,2953
Limburg (PV),Turkije,11013
Limburg (PV),Verenigd Koninkrijk,3724
Limburg (PV),Verenigde Staten van Amerika,1381
Limburg (PV),Vietnam,1071
Limburg (PV),Zuid-Afrika,477
Limburg (PV),Overig Afrika,4758
Limburg (PV),Overig Amerika,1022
Limburg (PV),Overig Azië,3275
Limburg (PV),Overig Europa,3104
Limburg (PV),Overig Oceanië,231
